Name,Classification,Preferred Term,URL,Related Term,Category,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,A-Z,Age,Age,Age,Age,Age,Sex,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Season,,,,Snomed Code,Confidence,Notes,Done
Chlamydia - Treatment,C,Chlamydia,https://www.nhs.uk/conditions/chlamydia/treatment/,,Treatment,,,,,,,,,,,,,,,,,,Sexual Health,,,,,,,,,,,Adults,,,,,,doxycycline, azithromycin, amoxicillin, erythromycin, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chlamydia - Complications,C,Chlamydia,https://www.nhs.uk/conditions/chlamydia/complications/,,,,,,,,,,,,,,,,,,,,Sexual Health,,,,,,,,,,,Adults,,,,,,pelvic inflammatory disease, PID, sexually acquired reactive arthritis, SARA, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Cholera,C,Cholera,https://www.nhs.uk/conditions/cholera/,,Condition,,,,,,,,,Bowel,,,,,,,,,Tropical Diseases,,,,,,,,,,checked,All,,,,,,diarrhoea, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63650001,High,,Done
Cholesteatoma,C,Cholesteatoma,https://www.nhs.uk/conditions/cholesteatoma/,,Condition,Ear,,,,,,,,,,,,,,,,,Hearing Health,,,,,,,,,,checked,All,,,,,,hearing loss, cochlea, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363668000,High,,Done
Chorionic villus sampling,C,Chorionic Villus sampling,https://www.nhs.uk/conditions/chorionic-villus-sampling-cvs/,CVS,Procedure,Abdomen,,,,,,,,Placenta,,,,,,,,,Screening,,,,,,,,,,checked,Adults,,,,,Female,CVS, chromosomal conditions, Down's syndrome, Edwards' syndrome, Patau's syndrome, antenatal screening test, genetic conditions, sickle cell disease, thalassaemia, cystic fibrosis, muscular dystrophy, transabdominal CVS, transcervical CVS, amniocentesis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258565009,High,,Done
Chorionic villus sampling - Why it's offered,C,Chorionic Villus sampling,https://www.nhs.uk/conditions/chorionic-villus-sampling-cvs/why-its-done/,,,,,,,,,,,Placenta,,,,,,,,,Screening,,,,,,,,,,,Adults,,,,,Female,Down's syndrome, Edwards' syndrome, Patau's syndrome, cystic fibrosis, Duchenne muscular dystrophy, thalassaemia, anaemia, sickle cell disease, phenylketonuria, phenylalanine, spina bifida, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chorionic villus sampling - What happens,C,Chorionic Villus sampling,https://www.nhs.uk/conditions/chorionic-villus-sampling-cvs/what-happens/,,,,,,,,,,,Placenta,,,,,,,,,Screening,,,,,,,,,,,Adults,,,,,Female,chorionic villi, amniotic sac, transabdominal CVS, transcervical CVS, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chorionic villus sampling - Results,C,Chorionic Villus sampling,https://www.nhs.uk/conditions/chorionic-villus-sampling-cvs/results/,,,,,,,,,,,Placenta,,,,,,,,,Screening,,,,,,,,,,,Adults,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chorionic villus sampling - Risks,C,Chorionic Villus sampling,https://www.nhs.uk/conditions/chorionic-villus-sampling-cvs/risks/,,,,,,,,,,,Placenta,,,,,,,,,Screening,,,,,,,,,,,Adults,,,,,Female,rhesus sensitisation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic fatigue syndrome,C,Chronic fatigue syndrome (CFS/ME),https://www.nhs.uk/conditions/chronic-fatigue-syndrome-cfs/,myalgic encephalomyelitis,Condition,,,,,,,,,Joints,,,,,,,,,,,,,,,,,,,checked,All,,,,,,CFS/ME, glandular fever, pneumonia, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52702003,High,,Done
Chronic fatigue syndrome - Symptoms,C,Chronic fatigue syndrome (CFS/ME),https://www.nhs.uk/conditions/chronic-fatigue-syndrome-cfs/symptoms/,,Symptom,,,,,,,,,Joints,,,,,,,,,,,,,,,,,,,,All,,,,,,extreme tiredness, fatigue, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic fatigue syndrome - Diagnosis,C,Chronic fatigue syndrome (CFS/ME),https://www.nhs.uk/conditions/chronic-fatigue-syndrome-cfs/diagnosis/,,,,,,,,,,,Joints,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic fatigue syndrome - Treatment,C,Chronic fatigue syndrome (CFS/ME),https://www.nhs.uk/conditions/chronic-fatigue-syndrome-cfs/treatment/,,Treatment,,,,,,,,,Joints,,,,,,,,,,,,,,,,,,,,All,,,,,,CBT, cognitive behavioural therapy, graded exercise therapy, GET, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic lymphocytic leukaemia,C,Leukaemia chronic lymphocytic,https://www.nhs.uk/conditions/chronic-lymphocytic-leukaemia/,CLL,Condition,,,,,,,,,Blood,,,,,,,,,Cancer,,,,,,,,,,checked,Adults,Older people,,,,,bone marrow, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51092000,High,,Done
Diagnosing chronic lymphocytic leukaemia,C,Leukaemia chronic lymphocytic,https://www.nhs.uk/conditions/chronic-lymphocytic-leukaemia/diagnosis/,,,,,,,,,,,Blood,,,,,,,,,Cancer,,,,,,,,,,,Adults,Older people,,,,,bone marrow biopsy, lymph node biopsy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Treating chronic lymphocytic leukaemia,C,Leukaemia chronic lymphocytic,https://www.nhs.uk/conditions/chronic-lymphocytic-leukaemia/treatment/,,Treatment,,,,,,,,,Blood,,,,,,,,,Cancer,,,,,,,,,,,Adults,Older people,,,,,stage A, stage B, stage C, fludarabine, cyclophosphamide, rituximab, stem cell transplant, bone marrow transplant, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Complications of chronic lymphocytic leukaemia,C,Leukaemia chronic lymphocytic,https://www.nhs.uk/conditions/chronic-lymphocytic-leukaemia/complications/,,,,,,,,,,,Blood,,,,,,,,,Cancer,,,,,,,,,,,Adults,Older people,,,,,Richter's syndrome, autoimmune haemolytic anaemia, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic myeloid leukaemia,C,Leukaemia chronic,https://www.nhs.uk/conditions/chronic-myeloid-leukaemia/,CML,Condition,,,,,,,,,Blood,,,,,,,,,Cancer,,,,,,,,,,checked,Older people,All,,,,,imatinib tablets, nilotinib capsules, dasatinib tablets, bosutinib tablets, stem cell transplant, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92818009,High,,Done
Chronic myeloid leukaemia - Diagnosis,C,Leukaemia chronic,https://www.nhs.uk/conditions/chronic-myeloid-leukaemia/diagnosis/,,,,,,,,,,,Blood,,,,,,,,,Cancer,,,,,,,,,,,Older people,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic myeloid leukaemia - Treatment,C,Leukaemia chronic,https://www.nhs.uk/conditions/chronic-myeloid-leukaemia/treatment/,,Treatment,,,,,,,,,Blood,,,,,,,,,Cancer,,,,,,,,,,,Older people,All,,,,,imatinib, nilotinib, dasatinib, bosutinib, ponatinib, combination therapy, chemotherapy, stem cell transplant, bone marrow transplant, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic obstructive pulmonary disease (COPD),C,Chronic obstructive pulmonary disease (COPD),https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/,COPD,Condition,,,,,,,,,Lung,,,,,,,,,Breathing and Respiratory health,,,,,,,,,,checked,All,Adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13645005,,,Done
Chronic obstructive pulmonary disease (COPD) - Symptoms,C,Chronic obstructive pulmonary disease (COPD),https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/symptoms/,,Symptom,,,,,,,,,Lung,,,,,,,,,Breathing and Respiratory health,,,,,,,,,,,All,Adults,,,,,breathlessness, wheezing, cough, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic obstructive pulmonary disease (COPD) - Causes,C,Chronic obstructive pulmonary disease (COPD),https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/causes/,,,,,,,,,,,Lung,,,,,,,,,Breathing and Respiratory health,,,,,,,,,,,All,Adults,,,,,smoking, fumes, dust, air pollution, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic obstructive pulmonary disease (COPD) - Diagnosis,C,Chronic obstructive pulmonary disease (COPD),https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/diagnosis/,,,,,,,,,,,Lung,,,,,,,,,Breathing and Respiratory health,,,,,,,,,,,All,Adults,,,,,spirometry, chest x-ray, bronchodilator, polycythaemia, electrocardiogram, echocardiogram, peak flow test, CT scan, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic obstructive pulmonary disease (COPD) - Treatments,C,Chronic obstructive pulmonary disease (COPD),https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/treatment/,,Treatment,,,,,,,,,Lung,,,,,,,,,Breathing and Respiratory health,,,,,,,,,,,All,Adults,,,,,stop smoking, inhalers,  bronchodilator inhaler, steroid inhaler, beta-2 agonist, antimuscarinic, tiotropium, glycopyronium, aclidinium, salmeterol, formoterol, indacaterol, theophylline, mucolytic, carbocisteine, acetylcysteine, nebulised medicine, roflumilast, oxygen therapy, non-invasive ventilation, NIV, bullectomy, lung volume reduction surgery, lung transplant, ,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic obstructive pulmonary disease (COPD) - Living with,C,Chronic obstructive pulmonary disease (COPD),https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/living-with/,,,,,,,,,,,Lung,,,,,,,,,Breathing and Respiratory health,,,,,,,,,,,All,Adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic pancreatitis,C,Pancreatitis chronic,https://www.nhs.uk/conditions/chronic-pancreatitis/,,Condition,Abdomen,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,checked,Adults,All,,,,,type 3c, pseudocysts, endoscopic ultrasound drainage, endoscopic transpapillary drainage, pancreatic cancer, idiopathic chronic pancreatitis, jaundice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235494005,,,Done
Chronic pancreatitis - Treatment,C,Pancreatitis chronic,https://www.nhs.uk/conditions/chronic-pancreatitis/treatment/,,,Abdomen,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,,Adults,All,,,,,bupropion, pancreatic enzyme supplements, steroids, amitriptyline, gabapentin, pregabalin, pancreas resection, pancreatectomy, autologous pancreatic islet cell transplantation, APICT, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Chronic traumatic encephalopathy,C,Chronic traumatic encephalopathy,https://www.nhs.uk/conditions/chronic-traumatic-encephalopathy/,,Condition,,,,,,,,,Brain,,,,,,,,,,,,,,,,,,,checked,All,,,,,,CTE, punch drunk syndrome, dementia pugilistica, repeated concussions, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78689005,,,Done
Circumcision in boys,C,Circumcision in boys,https://www.nhs.uk/conditions/circumcision-in-boys/,,Procedure,,,,,,,,,Penis,,,,,,,,,,,,,,,,,,,checked,Children,,,,,Male,foreskin, phimosis, balanitis, paraphimosis, balanitits xerotica obliterans, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Circumcision in men,C,Circumcision in men,https://www.nhs.uk/conditions/circumcision-in-men/,,Procedure,,,,,,,,,Penis,,,,,,,,,,,,,,,,,,,checked,Adults,,,,,Male,foreskin, phimosis, balanitis, paraphimosis, balanitits xerotica obliterans, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72310004,High,,Done
Cirrhosis,C,Cirrhosis,https://www.nhs.uk/conditions/cirrhosis/,,Condition,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,checked,All,,,,,,fibrosis, spider angiomas, hepatitis B, hepatitis C, non-alcoholic fatty liver disease, NAFLD, primary biliary cholangitis, autoimmune hepatitis, limit alcohol, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Cirrhosis - Symptoms,C,Cirrhosis,https://www.nhs.uk/conditions/cirrhosis/symptoms/,,Symptom,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Cirrhosis - Treatment,C,Cirrhosis,https://www.nhs.uk/conditions/cirrhosis/treatment/,,Treatment,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,,All,,,,,,diuretics, oedema, portal hypertension, decompensated cirrhosis, oesophageal varices, gastric varices, propanolol, beta blocker, variceal haemorrhage, ascites, peripheral oedema, encepahlopathy, spironolactone, furosemide, rifaximin, liver transplant, hepatocellular carcinoma, HCC, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Cleft lip and palate,C,Cleft lip and palate,https://www.nhs.uk/conditions/cleft-lip-and-palate/,,Condition,Lip,Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,checked,Babies,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66948001,High,,Done
Cleft lip and palate - Treatment,C,Cleft lip and palate,https://www.nhs.uk/conditions/cleft-lip-and-palate/treatment/,,Treatment,Lip,Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,Babies,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Clinical trials,C,Clinical trials,https://www.nhs.uk/conditions/clinical-trials/,,Advice or information,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Club foot,C,Club foot,https://www.nhs.uk/conditions/club-foot/,,Condition,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,talipes, achilles tendon, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702957008,High,,Done
Dandruff,D,Dandruff,https://www.nhs.uk/conditions/dandruff/,,Condition,Head,,,,,,,,Skin,,,,,,,,,Skin conditions,,,,,,,,,,checked,All,,,,,,skin flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400201008,High,,Done
Deafblindness,D,Deafblindness,https://www.nhs.uk/conditions/deafblindness/,dual sensory loss,Condition,Eye,Ear,,,,,,,,,,,,,,,,Hearing Health,,,,,,,,,,checked,All,,,,,,multi-sensory impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433147009,High,Have we thought about a section for eye health?,Done
Deafblindness - Causes,D,Deafblindness,https://www.nhs.uk/conditions/deafblindness/causes/,congenital deafblindness,Condition,Eye,Ear,,,,,,,,,,,,,,,,Hearing Health,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Deafblindness - Diagnosis,D,Deafblindness,https://www.nhs.uk/conditions/deafblindness/diagnosis/,,Condition,Eye,Ear,,,,,,,,,,,,,,,,Hearing Health,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Deafblindness - Symptoms,D,Deafblindness,https://www.nhs.uk/conditions/deafblindness/symptoms/,,Symptom,Eye,Ear,,,,,,,,,,,,,,,,Hearing Health,,,,,,,,,,,All,,,,,,hearing loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Deafblindness - Management,D,Deafblindness,https://www.nhs.uk/conditions/deafblindness/treatment/,,Treatment,Eye,Ear,,,,,,,,,,,,,,,,Hearing Health,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Decongestants,D,Decongestant drugs,https://www.nhs.uk/conditions/decongestants/,nasal congestion,Medicine,Nose,,,,,,,,Nose,,,,,,,,,Breathing and Respiratory health,,,,,,,,,,checked,All,,,,,,blocked nose, stuffy nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,Winter,,,417901007,High,,Done
Deep vein thrombosis,D,Deep vein thrombosis,https://www.nhs.uk/conditions/deep-vein-thrombosis-dvt/,DVT,Condition,Leg,,,,,,,,Blood vessels,Blood,,,,,,,,Blood Conditions,,,,,,,,,,checked,All,Adults,Older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128053003,High,,Done
Dehydration,D,Dehydration,https://www.nhs.uk/conditions/dehydration/,,Condition,,,,,,,,,,,,,,,,,,Preventative healthcare,,,,,,,,,,checked,All,,,,,,thirst, thirsty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34095006,High,,Done
Dementia with Lewy bodies,D,Dementia with lewy bodies,https://www.nhs.uk/conditions/dementia-with-lewy-bodies/,DLB,Condition,Head,,,,,,,,Brain,Neurotransmitters,,,,,,,,Dementia,,,,,,,,,,checked,Older people,,,,,,lewy body dementia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35811E+14,High,,Done
Dementia with Lewy bodies - Symptoms,D,Dementia with lewy bodies,https://www.nhs.uk/conditions/dementia-with-lewy-bodies/symptoms/,,Symptom,Head,,,,,,,,Brain,Neurotransmitters,,,,,,,,Dementia,,,,,,,,,,,Older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Dementia with Lewy bodies - Treatment,D,Dementia with lewy bodies,https://www.nhs.uk/conditions/dementia-with-lewy-bodies/treatment/,,Treatment,Head,,,,,,,,Brain,Neurotransmitters,,,,,,,,Dementia,,,,,,,,,,,Older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Dengue,D,Dengue,https://www.nhs.uk/conditions/dengue/,dengue virus,Condition,,,,,,,,,Skin,,,,,,,,,Infections Illnesses & Diseases,Rashes Bites and Stings,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38362002,High,,Done
Dental abscess,D,Dental abscess,https://www.nhs.uk/conditions/dental-abscess/,,Condition,Mouth,,,,,,,,,,,,,,,,,Dental,,,,,,,,,,checked,All,,,,,,periapical abscess, periodontal abscess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299709002,High,,Done
Dentures (false teeth),D,Dentures,https://www.nhs.uk/conditions/dentures/,False teeth,Treatment,Mouth,,,,,,,,,,,,,,,,,Dental,,,,,,,,,,checked,Older people,,,,,,complete dentures, partial dentures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8060009,High,,Done
Detached retina (retinal detachment),D,Detached retina (retinal detachment),https://www.nhs.uk/conditions/detached-retina-retinal-detachment/,Retinal detachment,Condition,Eye,,,,,,,,,,,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,All,,,,,,posterior vitreous detachment (PVD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42059000,High,,Done
Developmental co-ordination disorder (dyspraxia) in children,D,Dyspraxia (childhood),https://www.nhs.uk/conditions/developmental-coordination-disorder-dyspraxia/,developmental co-ordination disorder (DCD),Condition,Head,,,,,,,,Brain,,,,,,,,,Learning Disorders,Neurological Illness & Injury,,,,,,,,,checked,Children,,,,,,DCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6950007,Low,,Done
Developmental co-ordination disorder (dyspraxia) in children - Diagnosis,D,Dyspraxia (childhood),https://www.nhs.uk/conditions/developmental-coordination-disorder-dyspraxia/diagnosis/,,Symptom,Head,,,,,,,,Brain,,,,,,,,,Learning Disorders,Neurological Illness & Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Developmental co-ordination disorder (dyspraxia) in children - Symptoms,D,Dyspraxia (childhood),https://www.nhs.uk/conditions/developmental-coordination-disorder-dyspraxia/symptoms/,,Condition,Head,,,,,,,,Brain,,,,,,,,,Learning Disorders,Neurological Illness & Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Developmental co-ordination disorder (dyspraxia) in children - Treatment,D,Dyspraxia (childhood),https://www.nhs.uk/conditions/developmental-coordination-disorder-dyspraxia/treatment/,,Treatment,Head,,,,,,,,Brain,,,,,,,,,Learning Disorders,Neurological Illness & Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Developmental co-ordination disorder (dyspraxia) in adults,D,Developmental co-ordination disorder (dyspraxia) in adults,https://www.nhs.uk/conditions/developmental-coordination-disorder-dyspraxia-in-adults/,,Condition,Head,,,,,,,,Brain,,,,,,,,,Learning Disorders,Neurological Illness & Injury,,,,,,,,,checked,Adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6950007,Low,,Done
Developmental dysplasia of the hip,D,Developmental dysplasia of the hip,https://www.nhs.uk/conditions/developmental-dysplasia-of-the-hip/,DDH,Condition,Hip,,,,,,,,Skeleton,,,,,,,,,Infections Illnesses & Diseases,Bone Health,,,,,,,,,checked,Babies,Children,,,,,congenital dislocation of the hip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52781008,High,,Done
DEXA (DXA) scan,D,DEXA scan,https://www.nhs.uk/conditions/dexa-scan/,Bone density scan,Treatment,,,,,,,,,Skeleton,,,,,,,,,Screening,,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241686001,High,,Done
DEXA (DXA) scan - How it is performed,D,DEXA scan,https://www.nhs.uk/conditions/dexa-scan/what-happens/,,Treatment,,,,,,,,,Skeleton,,,,,,,,,Screening,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
DEXA (DXA) scan - When it is used,D,DEXA scan,https://www.nhs.uk/conditions/dexa-scan/why-its-done/,,Treatment,,,,,,,,,Skeleton,,,,,,,,,Screening,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Diabetes,D,Diabetes,https://www.nhs.uk/conditions/diabetes/,,Condition,,,,,,,,,Pancreas,,,,,,,,,Infections Illnesses & Diseases,Healthy Living,,,,,,,,,checked,All,,,,,,insulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405751000,High,,Done
Diabetes insipidus,D,Diabetes insipidus,https://www.nhs.uk/conditions/diabetes-insipidus/,,Condition,,,,,,,,,Bladder,Brain,Pituitary gland,Urine,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,All,,,,,,polydipsia, polyuria, urine, pee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15771004,High,,Done
Diabetes insipidus - Causes,D,Diabetes insipidus,https://www.nhs.uk/conditions/diabetes-insipidus/causes/,,Condition,,,,,,,,,Bladder,Brain,Pituitary gland,Urine,,,,,,Infections Illnesses & Diseases,,,,,,,,,,,All,,,,,,AVP, ADH, cranial diabetes insipidus, nephrogenic diabetes inspidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Diabetes insipidus - Complications,D,Diabetes insipidus,https://www.nhs.uk/conditions/diabetes-insipidus/complications/,,Condition,,,,,,,,,Bladder,Brain,Pituitary gland,Urine,,,,,,Infections Illnesses & Diseases,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Diabetes insipidus - Diagnosis,D,Diabetes insipidus,https://www.nhs.uk/conditions/diabetes-insipidus/diagnosis/,,Condition,,,,,,,,,Bladder,Brain,Pituitary gland,Urine,,,,,,Infections Illnesses & Diseases,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Diabetes insipidus - Symptoms,D,Diabetes insipidus,https://www.nhs.uk/conditions/diabetes-insipidus/symptoms/,,Symptom,,,,,,,,,Bladder,Brain,Pituitary gland,Urine,,,,,,Infections Illnesses & Diseases,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Diabetes insipidus - Treatment,D,Diabetes insipidus,https://www.nhs.uk/conditions/diabetes-insipidus/treatment/,,Treatment,,,,,,,,,Bladder,Brain,Pituitary gland,Urine,,,,,,Infections Illnesses & Diseases,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Diabetic eye screening - What is diabetic eye screening?,D,Diabetic eye screening,https://www.nhs.uk/conditions/diabetic-eye-screening/,diabetic retinopathy,Treatment,Eye,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Diabetic eye screening - how to book a test,D,Diabetic eye screening,https://www.nhs.uk/conditions/diabetic-eye-screening/how-to-book-a-test/,,Treatment,Eye,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,All,,,,,,eye drops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
